id,energy,danceability,liveness,valence,duration,acousticness,speechiness
395,59,66,12,30,,10,3
396,67,,8,25,,1,3
397,80,,8,43,,13,6
398,50,81,34,47,201,1,12
399,28,59,15,34,272,88,3
400,70,63,11,50,215,1,15
401,80,56,74,65,214,1,22
402,88,,10,40,,1,4
403,69,67,8,20,199,31,11
404,85,32,48,8,213,1,8
405,82,38,8,33,199,8,10
406,86,61,36,66,182,0,4
407,70,59,9,43,204,10,5
408,84,55,34,34,236,0,4
409,64,55,11,44,203,5,5
410,69,55,27,35,170,9,4
411,74,63,28,26,194,0,4
412,34,47,10,27,216,60,4
413,83,56,26,23,192,2,11
414,80,59,8,73,225,6,22
415,89,61,9,32,192,5,5
416,72,56,5,25,251,1,5
417,88,60,16,32,228,2,12
418,52,69,17,56,223,4,10
419,82,,6,56,,2,20
420,78,71,30,64,203,30,6
421,59,38,9,27,291,35,5
422,77,68,16,72,224,11,10
423,57,37,13,12,403,72,3
424,64,58,15,18,238,2,3
425,54,,13,20,,68,8
426,70,70,22,58,231,16,10
427,78,60,19,53,208,16,5
428,79,57,10,49,225,40,4
429,71,74,13,80,217,4,5
430,78,73,9,64,,0,13
431,95,63,10,73,197,0,4
432,4,52,9,26,310,99,4
433,75,83,20,32,263,22,12
434,87,65,37,44,234,1,6
435,65,37,9,16,200,3,11
436,69,75,13,52,,26,4
437,17,39,11,14,214,91,3
438,76,57,4,40,204,0,6
439,70,75,11,45,203,1,7
440,71,83,31,83,250,5,18
441,81,70,37,69,225,9,7
442,47,80,7,69,228,25,4
443,0,0,0,0,227,0,0
444,65,83,9,93,,58,8
445,52,75,11,66,245,41,3
446,59,68,14,49,230,14,28
447,82,44,11,75,188,11,34
448,56,85,9,86,207,1,4
449,72,65,14,16,206,9,3
450,82,77,7,59,269,43,12
451,66,56,11,36,209,13,8
452,74,65,24,61,226,5,23
453,62,69,12,54,,25,6
454,53,64,9,52,221,12,7
455,78,57,8,34,232,8,6
456,65,61,17,51,248,3,4
457,76,72,18,74,251,41,5
458,45,74,33,9,245,6,6
459,91,82,16,54,219,9,4
460,67,61,17,81,289,6,4
461,39,58,11,32,230,49,3
462,82,65,10,82,229,23,17
463,73,67,6,73,210,1,27
464,64,61,12,13,222,12,6
465,64,65,9,25,222,2,3
466,62,33,16,60,216,33,38
467,79,74,5,57,184,10,4
468,80,74,25,51,231,50,5
469,71,84,10,57,243,2,4
470,80,45,20,47,238,8,17
471,72,69,5,41,234,14,11
472,37,53,11,23,273,49,3
473,91,53,10,62,189,15,9
474,28,59,15,34,272,88,3
475,59,,10,68,,20,11
476,51,70,9,52,211,8,3
477,54,31,7,16,176,16,35
478,72,93,35,46,224,7,11
479,87,40,36,47,,17,31
480,88,69,15,49,192,4,6
481,87,71,12,72,203,3,4
482,80,,15,63,,3,8
483,50,87,8,55,202,20,5
484,91,71,30,65,208,1,6
485,81,65,13,58,189,12,6
486,79,80,22,52,228,13,6
487,57,76,20,14,,2,13
488,93,72,5,54,205,3,5
489,74,77,9,86,202,5,4
490,42,74,6,85,188,1,5
491,87,55,14,33,249,0,6
492,69,65,4,86,236,0,4
493,64,73,8,53,158,2,4
494,53,74,35,13,189,0,4
495,75,64,49,53,203,4,11
496,82,70,45,67,218,49,22
497,50,37,20,21,180,6,12
498,76,,14,59,,8,4
499,90,74,8,65,184,7,5
500,67,51,36,27,264,58,6
501,83,70,36,63,245,28,27
502,59,77,11,33,225,10,5
503,53,68,4,84,202,14,28
504,81,,4,78,,2,5
505,84,60,11,47,240,2,7
506,46,,14,21,,85,3
507,77,76,8,81,202,8,5
508,88,43,21,25,282,0,4
509,86,79,8,59,215,4,11
510,52,77,13,39,217,18,3
511,73,,37,65,,10,13
512,70,76,15,61,209,0,7
513,81,87,8,97,199,38,6
514,71,,29,35,,4,6
515,54,84,8,51,218,4,9
516,71,62,13,49,211,6,7
517,80,72,20,31,198,12,4
518,44,26,11,10,239,10,4
519,61,78,13,80,209,11,5
520,67,59,34,51,238,1,5
521,64,51,8,38,224,7,5
522,71,66,8,74,175,3,5
523,76,52,17,29,181,26,9
524,64,71,26,89,204,2,23
525,33,57,9,28,217,42,3
526,81,65,17,55,211,19,5
527,60,80,10,42,200,8,6
528,86,70,2,93,217,2,10
529,30,59,12,36,260,78,3
530,75,68,9,61,181,6,3
531,73,59,31,19,269,5,9
532,73,74,30,62,189,0,4
533,67,67,12,63,204,3,7
534,46,70,5,48,205,0,8
535,81,66,5,46,219,3,8
536,58,,12,45,,11,5
537,59,47,13,50,196,3,3
538,71,77,13,51,212,20,12
539,60,53,13,32,191,56,12
540,41,97,8,73,215,19,7
541,80,63,10,32,215,4,6
542,63,71,8,37,279,10,8
543,73,69,11,48,192,28,37
544,57,52,11,21,341,3,3
545,81,64,8,91,197,2,33
546,57,46,10,19,185,24,5
547,62,77,21,68,191,6,10
548,62,84,13,74,164,4,8
549,59,63,10,68,194,20,11
550,59,65,11,15,245,1,6
551,72,76,23,47,210,2,8
552,73,92,12,20,,0,9
553,80,,42,18,,2,3
554,69,57,6,32,212,8,12
555,79,63,16,41,220,5,6
556,60,66,11,45,191,10,6
557,59,39,9,19,272,3,6
558,74,,9,86,,5,4
559,61,53,23,53,195,23,6
560,44,48,64,62,304,81,24
561,41,68,12,20,233,70,3
562,69,73,10,42,221,2,5
563,87,76,7,90,169,3,5
564,64,75,11,45,186,25,9
565,58,75,25,65,294,4,14
566,69,63,12,25,227,16,9
567,48,58,10,42,213,2,3
568,55,79,13,23,226,1,5
569,76,75,20,58,248,0,5
570,84,58,10,50,190,13,22
571,59,97,8,27,264,5,26
572,77,58,9,76,,5,8
573,32,76,8,57,189,84,5
574,34,51,21,9,206,58,4
575,41,50,11,45,182,75,3
576,54,76,9,75,191,4,3
577,68,48,8,35,202,15,9
578,62,86,9,67,204,15,8
579,46,62,14,50,184,56,3
580,79,69,17,67,214,19,5
581,62,,12,41,,11,11
582,89,67,74,48,159,30,6
583,68,69,10,40,228,2,3
584,50,80,6,87,183,11,7
585,65,64,8,55,198,12,19
586,73,84,11,95,181,4,6
587,88,67,8,23,178,30,15
588,68,80,9,84,220,9,4
589,40,90,6,35,198,5,13
590,89,81,8,61,,2,4
591,51,53,10,35,,13,3
592,86,73,11,52,148,48,3
593,54,85,13,45,236,57,5
594,70,59,34,52,218,20,3
595,45,70,16,14,261,12,15
596,82,72,36,91,162,13,5
597,80,84,6,62,213,16,23
598,87,74,4,61,181,17,5
599,66,61,20,16,176,1,3
600,79,75,7,61,206,21,12
601,76,53,9,65,260,7,34
602,79,60,42,24,217,1,7
603,44,70,13,23,213,6,6
